Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
0.6575,0.6551,0.1865,0.6551,0.7267,0.5552,28.9486,0.0031
0.6649,0.6618,0.167,0.6618,0.7477,0.5617,318.7739,0.0088
0.6982,0.6799,0.1612,0.6799,0.7541,0.578,323.357,0.009
0.747,0.7227,0.0506,0.8207,0.8359,0.6417,54.3691,0.0076
0.755,0.7257,0.0503,0.824,0.8384,0.6501,325.6563,0.0089
0.7653,0.7271,0.0501,0.8295,0.841,0.6588,326.4038,0.009
0.5164,0.531,0.4816,0.5185,0.5184,0.5042,34.6849,0.0021
0.4754,0.497,0.5012,0.5251,0.4988,0.4936,320.6542,0.0087
0.4797,0.5094,0.494,0.5738,0.5105,0.497,322.7507,0.0087
0.9898,0.9783,0.0039,0.9896,0.9872,0.9706,47.6405,0.003
0.9351,0.9225,0.0247,0.9331,0.949,0.8772,323.3431,0.0086
0.9373,0.9275,0.023,0.9365,0.9502,0.8819,323.1532,0.0085
0.5659,0.9952,0.0048,0.4848,0.7884,0.4522,37.0897,0.003
0.8105,0.9978,0.0022,0.776,0.9061,0.7346,318.9487,0.0086
0.811,0.9978,0.0023,0.7799,0.9066,0.7364,326.9717,0.0086
0.9631,0.9636,0.0064,0.9642,0.9788,0.9357,52.9689,0.0068
0.9635,0.9636,0.005,0.9689,0.9816,0.9379,319.7327,0.0071
0.9594,0.9652,0.0057,0.9636,0.9826,0.9363,317.0154,0.0073
0.8982,0.6265,0.3762,0.7794,0.6238,0.3849,28.9992,0.0026
0.8902,0.6217,0.3794,0.7243,0.6656,0.401,318.6423,0.0085
0.8899,0.6253,0.3766,0.7207,0.6748,0.3918,321.9598,0.0085
0.9708,0.5173,0.4827,0.586,0.5173,0.0499,34.4408,0.0025
0.9681,0.5963,0.4037,0.6518,0.5963,0.1189,322.7458,0.0084
0.9737,0.6037,0.3928,0.6623,0.5933,0.1241,319.8607,0.0083
0.5933,0.2914,0.1083,0.4651,0.5914,0.2463,34.6304,0.003
0.5642,0.2877,0.1087,0.3831,0.5999,0.2414,319.4371,0.0085
0.5864,0.2865,0.1088,0.3942,0.6044,0.246,320.5645,0.0084
0.8434,0.8429,0.0783,0.8452,0.8823,0.7639,49.73148,0.003
0.858,0.8583,0.071,0.8585,0.8937,0.7842,322.231,0.0088
0.8625,0.8615,0.0637,0.8641,0.9037,0.8016,325.5581,0.0084
0.9319,0.958,0.042,0.9601,0.958,0.9462,22.6847,0.0021
0.994,0.9937,0.0063,0.9937,0.9887,0.9904,322.1507,0.0088
0.9966,0.9971,0.0052,0.9961,0.9977,0.9912,322.546,0.0086
0.5655,0.3053,0.0048,0.5313,0.797,0.4695,32.8329,0.0033
0.8305,0.3112,0.002,0.7986,0.92,0.7802,323.7492,0.0085
0.8377,0.3112,0.0016,0.8102,0.9255,0.7993,323.0379,0.0086
0.4836,0.3044,0.0054,0.4178,0.7484,0.3841,75.3588,0.0033
0.6944,0.3132,0.0034,0.6489,0.8527,0.6035,351.6329,0.0093
0.7074,0.3135,0.0022,0.6558,0.885,0.611,361.3602,0.0093
0.8784,0.8698,0.1222,0.8751,0.8778,0.8578,22.7126,0.002
0.9287,0.9302,0.0698,0.9299,0.9311,0.9209,329.8527,0.0087
0.9396,0.9305,0.0602,0.9323,0.9381,0.936,346.639,0.0085
0.9065,0.9069,0.0104,0.9066,0.9484,0.8325,24.015,0.002
0.931,0.931,0.0079,0.9306,0.9616,0.8742,344.5434,0.0084
0.937,0.9342,0.0073,0.9336,0.9647,0.8785,340.6443,0.0085
0.9355,0.9266,0.0734,0.9381,0.9266,0.9176,31.3826,0.0026
0.9467,0.9446,0.0554,0.9441,0.9446,0.9409,345.8514,0.0084
0.9567,0.9465,0.0446,0.9459,0.9459,0.9516,338.847,0.0083
0.9332,0.9224,0.036,0.9266,0.9446,0.8799,26.6766,0.0021
0.8768,0.8684,0.0656,0.8628,0.9014,0.7936,337.7446,0.0086
0.888,0.8792,0.0564,0.8734,0.9022,0.7943,340.0484,0.0086
0.9329,0.9257,0.0359,0.926,0.9448,0.8798,26.6663,0.0022
0.9395,0.9355,0.0293,0.9312,0.9474,0.8743,341.1536,0.0088
0.9443,0.9449,0.0275,0.9377,0.9532,0.8752,342.1528,0.0088
0.692,0.3735,0.218,0.3985,0.6534,0.3292,21.9489,0.002
0.6298,0.3736,0.0609,0.3928,0.6801,0.3503,348.9637,0.0084
0.6932,0.394,0.0587,0.4167,0.7086,0.3533,353.2461,0.0084
0.8909,0.9022,0.0663,0.7011,0.8616,0.6779,24.0662,0.002
0.9039,0.5959,0.0206,0.6616,0.8545,0.663,342.1505,0.0087
0.9047,0.6008,0.0181,0.6913,0.8641,0.6639,349.3461,0.0085